HUC6 Basin,HUC8 Subbasin,Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since April 22, 2025 (af) "
Rio Grande Headwaters,Rio Grande Headwaters,0.0 ,2.2 ,"164,386 ","-125,653 "
,Alamosa-Trinchera,0.0 ,0.1 ,"12,484 ","-28,218 "
,San Luis,0.0 ,0.2 ,"14,947 ","-16,002 "
,Saguache,0.0 ,0.2 ,"14,101 ","-22,625 "
,Conejos,0.0 ,1.0 ,"41,239 ","-55,359 "
,Total,0.0 ,0.6 ,"247,158 ","-247,857 "
Upper Rio Grande,Upper Rio Grande,0.0 ,0.2 ,"37,413 ","-9,354 "
,Rio Chama,0.0 ,0.1 ,"25,119 ","-48,598 "
,Total,0.0 ,0.2 ,"62,532 ","-57,952 "
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,0.0 ,0.0 ,0 ,"-1,503 "
,Jemez,0.0 ,0.0 ,0 ,"-2,880 "
,Rio Grande-Albuquerque,0.0 ,0.0 ,0 ,-173 
,Arroyo Chico,0.0 ,0.0 ,0 ,-18 
,North Plains,0.0 ,0.0 ,0 ,0 
,Rio San Jose,0.0 ,0.0 ,0 ,0 
,Plains of San Agustin,0.0 ,0.0 ,0 ,0 
,Rio Salado,0.0 ,0.0 ,0 ,0 
,Jornada Del Muerto,0.0 ,0.0 ,0 ,0 
,Elephant Butte Reservoir,0.0 ,0.0 ,0 ,0 
,Rio Puerco,0.0 ,0.0 ,0 ,-645 
,Total,0.0 ,0.0 ,0 ,"-5,219 "
