Subbasin Grouping,HUC8 Subbasin,Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since April 22, 2025 (af) "
Upper Rio Grande,Rio Grande Headwaters,0.0 ,2.2 ,"164,386 ","-125,653 "
,Saguache,0.0 ,0.2 ,"14,101 ","-22,625 "
,Conejos,0.0 ,1.0 ,"41,239 ","-55,359 "
,Total,0.0 ,1.2 ,"219,727 ","-203,637 "
Sangre de Cristo,San Luis,0.0 ,0.2 ,"14,947 ","-16,002 "
,Alamosa-Trinchera,0.0 ,0.1 ,"12,484 ","-28,218 "
,Upper Rio Grande,0.0 ,0.2 ,"37,413 ","-9,354 "
,Total,0.0 ,0.2 ,"64,844 ","-53,574 "
Rio Chama,,0.0 ,0.1 ,"25,119 ","-48,598 "
Jemez,,0.0 ,0.0 ,0 ,"-2,880 "
