HUC6 Basin,HUC8 Subbasin,Elevation Band (ft.),Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since April 22, 2025 (af)  "
Rio Grande Headwaters,Rio Grande Headwaters,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,-84 
,,9000-10000',0.0 ,0.1 ,749 ,"-3,462 "
,,10000-11000',0.0 ,1.4 ,"30,790 ","-36,762 "
,,11000-12000',4.8 ,4.6 ,"99,973 ","-66,988 "
,,12000-13000',5.7 ,5.4 ,"32,439 ","-18,099 "
,,13000-14000',4.6 ,3.5 ,435 ,-258 
,Alamosa-Trinchera,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,-118 
,,9000-10000',0.0 ,0.0 ,21 ,"-3,112 "
,,10000-11000',0.0 ,0.1 ,"1,748 ","-10,842 "
,,11000-12000',0.2 ,1.1 ,"9,034 ","-12,583 "
,,12000-13000',0.2 ,0.9 ,"1,677 ","-1,519 "
,,13000-14000',0.0 ,0.0 ,3 ,-45 
,San Luis,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,-15 
,,9000-10000',0.0 ,0.0 ,85 ,"-1,115 "
,,10000-11000',0.0 ,0.3 ,"1,775 ","-4,616 "
,,11000-12000',0.0 ,1.5 ,"6,835 ","-6,671 "
,,12000-13000',1.2 ,2.4 ,"6,227 ","-3,523 "
,,13000-14000',0.0 ,0.4 ,25 ,-62 
,Saguache,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,-5 
,,9000-10000',0.0 ,0.0 ,330 ,"-2,696 "
,,10000-11000',0.0 ,0.2 ,"2,969 ","-8,600 "
,,11000-12000',1.4 ,1.8 ,"8,490 ","-9,504 "
,,12000-13000',2.2 ,2.5 ,"2,313 ","-1,808 "
,,13000-14000',0.0 ,0.0 ,0 ,-13 
,Conejos,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,6 ,-1 
,,9000-10000',0.0 ,0.1 ,"1,119 ","-5,498 "
,,10000-11000',0.0 ,1.8 ,"17,321 ","-34,542 "
,,11000-12000',4.6 ,4.4 ,"21,550 ","-14,413 "
,,12000-13000',3.1 ,3.2 ,"1,243 ",-904 
Upper Rio Grande,Upper Rio Grande,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,28 ,-38 
,,9000-10000',0.0 ,0.0 ,315 ,"-1,229 "
,,10000-11000',0.0 ,0.3 ,"5,608 ","-6,894 "
,,11000-12000',1.0 ,3.5 ,"27,467 ","-1,531 "
,,12000-13000',1.7 ,3.4 ,"3,996 ",338 
