HUC6 Basin,HUC8 Subbasin,Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since May 6, 2025 (af) "
Rio Grande Headwaters,Rio Grande Headwaters,0.0 ,1.0 ,"71,044 ","-61,265 "
,Alamosa-Trinchera,0.0 ,0.1 ,"19,602 ","-52,701 "
,San Luis,0.0 ,0.1 ,"10,500 ","-12,959 "
,Saguache,0.0 ,0.1 ,"5,016 ","-21,736 "
,Conejos,0.0 ,0.9 ,"37,210 ","-29,331 "
,Total,0.0 ,0.4 ,"143,373 ","-177,992 "
Upper Rio Grande,Upper Rio Grande,0.0 ,0.4 ,"70,916 ","-73,258 "
,Rio Chama,0.0 ,0.1 ,"17,326 ","-81,806 "
,Total,0.0 ,0.3 ,"88,242 ","-155,063 "
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,0.0 ,0.0 ,656 ,"-1,736 "
,Jemez,0.0 ,0.0 ,72 ,"-8,450 "
,Rio Grande-Albuquerque,0.0 ,0.0 ,0 ,-29 
,Arroyo Chico,0.0 ,0.0 ,0 ,-7 
,North Plains,0.0 ,0.0 ,0 ,-4 
,Rio San Jose,0.0 ,0.0 ,0 ,-259 
,Plains of San Agustin,0.0 ,0.0 ,0 ,-170 
,Rio Salado,0.0 ,0.0 ,0 ,0 
,Jornada Del Muerto,0.0 ,0.0 ,0 ,0 
,Elephant Butte Reservoir,0.0 ,0.0 ,0 ,0 
,Rio Puerco,0.0 ,0.0 ,2 ,"-2,001 "
,Total,0.0 ,0.0 ,730 ,"-12,656 "
