HUC6 Basin,HUC8 Subbasin,Elevation Band (ft.),Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since May 6, 2025 (af)  "
Rio Grande Headwaters,Rio Grande Headwaters,7000-8000',0.0 ,0.0 ,0 ,-11 
,,8000-9000',0.0 ,0.0 ,0 ,"-1,205 "
,,9000-10000',0.0 ,0.0 ,122 ,"-5,132 "
,,10000-11000',0.0 ,0.7 ,"14,282 ","-15,613 "
,,11000-12000',1.2 ,2.0 ,"44,438 ","-29,073 "
,,12000-13000',1.9 ,2.0 ,"12,016 ","-10,112 "
,,13000-14000',1.8 ,1.5 ,186 ,-119 
,Alamosa-Trinchera,7000-8000',0.0 ,0.0 ,0 ,"-1,578 "
,,8000-9000',0.0 ,0.0 ,0 ,"-17,389 "
,,9000-10000',0.0 ,0.0 ,0 ,"-18,190 "
,,10000-11000',0.0 ,0.2 ,"1,946 ","-11,243 "
,,11000-12000',0.6 ,1.5 ,"12,599 ","-4,792 "
,,12000-13000',2.5 ,2.6 ,"4,852 ",433 
,,13000-14000',2.4 ,2.5 ,205 ,58 
,San Luis,7000-8000',0.0 ,0.0 ,0 ,-17 
,,8000-9000',0.0 ,0.0 ,0 ,"-1,832 "
,,9000-10000',0.0 ,0.0 ,0 ,"-3,890 "
,,10000-11000',0.0 ,0.2 ,"1,403 ","-3,884 "
,,11000-12000',0.0 ,1.0 ,"4,503 ","-2,627 "
,,12000-13000',1.1 ,1.7 ,"4,536 ",-711 
,,13000-14000',0.9 ,1.0 ,59 ,2 
,Saguache,7000-8000',0.0 ,0.0 ,0 ,-10 
,,8000-9000',0.0 ,0.0 ,0 ,"-2,104 "
,,9000-10000',0.0 ,0.0 ,41 ,"-6,695 "
,,10000-11000',0.0 ,0.1 ,"1,149 ","-7,039 "
,,11000-12000',0.0 ,0.5 ,"2,490 ","-4,992 "
,,12000-13000',0.8 ,1.4 ,"1,331 ",-885 
,,13000-14000',0.2 ,0.2 ,5 ,-12 
,Conejos,7000-8000',0.0 ,0.0 ,0 ,-72 
,,8000-9000',0.0 ,0.0 ,0 ,"-5,843 "
,,9000-10000',0.0 ,0.0 ,405 ,"-12,156 "
,,10000-11000',0.0 ,1.3 ,"12,715 ","-10,422 "
,,11000-12000',4.9 ,4.6 ,"22,568 ",-923 
,,12000-13000',4.1 ,3.9 ,"1,523 ",84 
Upper Rio Grande,Upper Rio Grande,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,-19 
,,7000-8000',0.0 ,0.0 ,0 ,"-2,558 "
,,8000-9000',0.0 ,0.0 ,0 ,"-18,225 "
,,9000-10000',0.0 ,0.0 ,943 ,"-34,877 "
,,10000-11000',0.3 ,0.9 ,"15,854 ","-20,198 "
,,11000-12000',3.3 ,5.9 ,"46,470 ","1,827 "
,,12000-13000',4.6 ,6.5 ,"7,650 ",793 
,Rio Chama,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,"-4,890 "
,,8000-9000',0.0 ,0.0 ,0 ,"-26,030 "
,,9000-10000',0.0 ,0.0 ,356 ,"-31,255 "
,,10000-11000',0.0 ,1.0 ,"11,327 ","-19,424 "
,,11000-12000',7.3 ,6.6 ,"5,305 ",-229 
,,12000-13000',8.2 ,8.2 ,337 ,23 
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,-84 
