Subbasin Grouping,HUC8 Subbasin,Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since May 13, 2025 (af) "
Upper Rio Grande,Rio Grande Headwaters,0.0 ,0.5 ,"35,563 ","-35,481 "
,Saguache,0.0 ,0.0 ,"1,913 ","-3,103 "
,Conejos,0.0 ,0.5 ,"20,101 ","-17,109 "
,Total,0.0 ,0.3 ,"57,578 ","-55,693 "
Sangre de Cristo,San Luis,0.0 ,0.1 ,"5,591 ","-4,910 "
,Alamosa-Trinchera,0.0 ,0.1 ,"8,778 ","-10,824 "
,Upper Rio Grande,0.0 ,0.2 ,"39,980 ","-30,936 "
,Total,0.0 ,0.1 ,"54,349 ","-46,670 "
Rio Chama,,0.0 ,0.1 ,"11,741 ","-5,585 "
Jemez,,0.0 ,0.0 ,0 ,-72 
